기준연도,고객국가명,외국인관광객수
2024,일본,441112.0
2024,중국,260641.0
2024,미국,101733.0
2024,대만,83456.0
2024,태국,38152.0
2023,일본,187711.0
2023,중국,112135.0
2023,미국,76925.0
2023,대만,12828.0
2023,태국,30844.0
2022,일본,21757.0
2022,중국,43923.0
2022,미국,44095.0
2022,대만,1327.0
2022,태국,20408.0
2021,일본,3305.0
2021,중국,28021.0
2021,미국,28889.0
2021,대만,502.0
2021,태국,7287.0
2020,일본,14077.0
2020,중국,31084.0
2020,미국,18004.0
2020,대만,550.0
2020,태국,6047.0
2019,일본,68411.0
2019,중국,162868.0
2019,미국,58358.0
2019,대만,2353.0
2019,태국,14162.0
2018,일본,42563.0
2018,중국,118310.0
2018,미국,45213.0
2018,대만,1731.0
2018,태국,8998.0
