기준연도,국가명,외국인관광객수
2024,대만,83456.0
2024,러시아,16622.0
2024,몽골,25731.0
2024,미국,101733.0
2024,베트남,20382.0
2024,싱가포르,26666.0
2024,일본,441112.0
2024,중국,260641.0
2024,캐나다,14847.0
2024,태국,38152.0
2024,그외국가,141125.0
2024,합계,1170467.0
2023,대만,12828.0
2023,러시아,14720.0
2023,몽골,22080.0
2023,미국,76925.0
2023,베트남,20371.0
2023,싱가포르,13499.0
2023,일본,187711.0
2023,중국,112135.0
2023,캐나다,9377.0
2023,태국,30844.0
2023,그외국가,102845.0
2023,합계,605768.0
2022,대만,1327.0
2022,러시아,9616.0
2022,몽골,14148.0
2022,미국,44095.0
2022,베트남,14665.0
2022,싱가포르,3772.0
2022,일본,21757.0
2022,중국,43923.0
2022,캐나다,4718.0
2022,태국,20408.0
2022,그외국가,67109.0
2022,합계,248110.0
2021,대만,502.0
2021,러시아,6412.0
2021,몽골,9145.0
2021,미국,28889.0
2021,베트남,10829.0
2021,싱가포르,521.0
2021,일본,3305.0
2021,중국,28021.0
2021,캐나다,2333.0
2021,태국,7287.0
2021,그외국가,47447.0
2021,합계,145842.0
2020,대만,550.0
2020,러시아,6246.0
2020,몽골,6102.0
2020,미국,18004.0
2020,베트남,5586.0
2020,싱가포르,354.0
2020,일본,14077.0
2020,중국,31084.0
2020,캐나다,1127.0
2020,태국,6047.0
2020,그외국가,25917.0
2020,합계,117069.0
2019,대만,2353.0
2019,러시아,29897.0
2019,몽골,17918.0
2019,미국,58358.0
2019,베트남,15133.0
2019,싱가포르,2971.0
2019,일본,68411.0
2019,중국,162868.0
2019,캐나다,4996.0
2019,태국,14162.0
2019,그외국가,111969.0
2019,합계,497464.0
2018,대만,1731.0
2018,러시아,27185.0
2018,몽골,14042.0
2018,미국,45213.0
2018,베트남,7532.0
2018,싱가포르,2566.0
2018,일본,42563.0
2018,중국,118310.0
2018,캐나다,4098.0
2018,태국,8998.0
2018,그외국가,97840.0
2018,합계,378967.0
